Currency_Year,Exchange_to_USD
SAR_2010,0.27
SAR_2011,0.27
SAR_2012,0.27
SAR_2013,0.27
SAR_2014,0.27
SAR_2015,0.27
SAR_2016,0.27
SAR_2017,0.27
SAR_2018,0.27
SAR_2019,0.27
SAR_2020,0.27
SAR_2021,0.27
AED_2010,0.27
AED_2011,0.27
AED_2012,0.27
AED_2013,0.27
AED_2014,0.27
AED_2015,0.27
AED_2016,0.27
AED_2017,0.27
AED_2018,0.27
AED_2019,0.27
AED_2020,0.27
AED_2021,0.27
KWD_2010,3.49
KWD_2011,3.55
KWD_2012,3.59
KWD_2013,3.54
KWD_2014,3.54
KWD_2015,3.38
KWD_2016,3.29
KWD_2017,3.28
KWD_2018,3.33
KWD_2019,3.30
KWD_2020,3.29
KWD_2021,3.30
QAR_2010,0.28
QAR_2011,0.27
QAR_2012,0.28
QAR_2013,0.27
QAR_2014,0.27
QAR_2015,0.27
QAR_2016,0.27
QAR_2017,0.27
QAR_2018,0.27
QAR_2019,0.27
QAR_2020,0.27
QAR_2021,0.27
RUR_2010,0.15
RUR_2011,0.15
RUR_2012,0.15
RUR_2013,0.15
RUR_2014,0.14
RUR_2015,0.13
RUR_2016,0.13
RUR_2017,0.05
RUR_2018,0.06
RUR_2019,0.06
RUR_2020,0.06
RUR_2021,0.06
EGP_2010,0.15
EGP_2011,0.15
EGP_2012,0.15
EGP_2013,0.15
EGP_2014,0.14
EGP_2015,0.13
EGP_2016,0.13
EGP_2017,0.05
EGP_2018,0.06
EGP_2019,0.06
EGP_2020,0.06
EGP_2021,0.06
USD_2010,1.00
USD_2011,1.00
USD_2012,1.00
USD_2013,1.00
USD_2014,1.00
USD_2015,1.00
USD_2016,1.00
USD_2017,1.00
USD_2018,1.00
USD_2019,1.00
USD_2020,1.00
USD_2021,1.00
